State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Country,Maps,Nearest Airport,Major Railway Station
Andaman and Nicobar Islands,Baratang Island,Limestone Caves,Natural Feature,Limestone Caves,1.5,4.4,250,No,,Nature,Yes,0.015,Morning,India,https://www.google.com/maps/search/?api=1&query=Limestone%20Caves%2C%20Baratang%20Island%2C%20Andaman%20and%20Nicobar%20Islands%2C%20India,Veer Savarkar International Airport (via Port Blair),None (Sea Access)
Andaman and Nicobar Islands,Havelock Island,Radhanagar Beach,Beach,Unknown,1.0,4.8,0,No,,Nature,Yes,0.09,Morning,India,https://www.google.com/maps/search/?api=1&query=Radhanagar%20Beach%2C%20Havelock%20Island%2C%20Andaman%20and%20Nicobar%20Islands%2C%20India,Veer Savarkar International Airport (via Ferry),None (Sea Access)
Andaman and Nicobar Islands,Neil Island,Bharatpur Beach,Beach,Unknown,1.0,4.5,0,No,,Nature,Yes,0.04,Morning,India,https://www.google.com/maps/search/?api=1&query=Bharatpur%20Beach%2C%20Neil%20Island%2C%20Andaman%20and%20Nicobar%20Islands%2C%20India,Veer Savarkar International Airport (via Ferry),None (Sea Access)
Andaman and Nicobar Islands,Port Blair,Cellular Jail,Landmark,1906,1.5,4.7,30,Yes,Monday,Historical,Yes,0.12,Afternoon,India,https://www.google.com/maps/search/?api=1&query=Cellular%20Jail%2C%20Port%20Blair%2C%20Andaman%20and%20Nicobar%20Islands%2C%20India,Veer Savarkar International Airport,None (Sea Access)
Andhra Pradesh,Amravati,Amaravathi Temple,Temple,Unknown,1.0,4.7,0,Yes,,Religious,No,0.041,All,India,https://www.google.com/maps/search/?api=1&query=Amaravathi%20Temple%2C%20Amravati%2C%20Andhra%20Pradesh%2C%20India,Amravati Airport,Amravati Railway Station
Andhra Pradesh,Anantapur,Lepakshi,Site,16th century,1.5,4.6,0,No,,Historical,Yes,0.075,All,India,https://www.google.com/maps/search/?api=1&query=Lepakshi%2C%20Anantapur%2C%20Andhra%20Pradesh%2C%20India,Anantapur Airport,Anantapur Railway Station
Andhra Pradesh,Guntur,Uppalapadu Bird Sanctuary,Bird Sanctuary,Unknown,1.0,4.4,10,Yes,,Wildlife,Yes,0.7,All,India,https://www.google.com/maps/search/?api=1&query=Uppalapadu%20Bird%20Sanctuary%2C%20Guntur%2C%20Andhra%20Pradesh%2C%20India,Guntur Airport,Guntur Railway Station
Andhra Pradesh,Kadapa,Gandikota Fort,Fort,12th century,1.5,4.5,0,No,,Historical,Yes,0.015,Morning,India,https://www.google.com/maps/search/?api=1&query=Gandikota%20Fort%2C%20Kadapa%2C%20Andhra%20Pradesh%2C%20India,Kadapa Airport,Kadapa Railway Station
Andhra Pradesh,Kurnool,Belum Caves,Cave,Unknown,1.5,4.4,65,Yes,,Natural Wonder,Yes,0.11,Afternoon,India,https://www.google.com/maps/search/?api=1&query=Belum%20Caves%2C%20Kurnool%2C%20Andhra%20Pradesh%2C%20India,Kurnool Airport,Kurnool Railway Station
Andhra Pradesh,Puttaparthi,Prasanthi Nilayam,Spiritual Center,1950,1.0,4.7,0,Yes,,Religious,Yes,0.12,All,India,https://www.google.com/maps/search/?api=1&query=Prasanthi%20Nilayam%2C%20Puttaparthi%2C%20Andhra%20Pradesh%2C%20India,Puttaparthi Airport,Puttaparthi Railway Station
Andhra Pradesh,Rajahmundry,Papikondalu,Hill,Unknown,2.0,4.3,0,Yes,,Nature,Yes,0.032,All,India,https://www.google.com/maps/search/?api=1&query=Papikondalu%2C%20Rajahmundry%2C%20Andhra%20Pradesh%2C%20India,Rajahmundry Airport,Rajahmundry Railway Station
Andhra Pradesh,Srisailam,Mallikarjuna Swamy Temple,Temple,14th century,1.0,4.7,0,No,,Religious,No,0.49,All,India,https://www.google.com/maps/search/?api=1&query=Mallikarjuna%20Swamy%20Temple%2C%20Srisailam%2C%20Andhra%20Pradesh%2C%20India,Srisailam Airport,Srisailam Railway Station
Andhra Pradesh,Vijayawada,Kanaka Durga Temple,Temple,Unknown,1.0,4.7,0,Yes,,Religious,No,0.44,All,India,https://www.google.com/maps/search/?api=1&query=Kanaka%20Durga%20Temple%2C%20Vijayawada%2C%20Andhra%20Pradesh%2C%20India,Vijayawada Airport,Vijayawada Railway Station
Andhra Pradesh,Visakhapatnam,Rishikonda Beach,Beach,Unknown,1.5,4.5,0,Yes,,Recreational,Yes,0.39,Morning,India,https://www.google.com/maps/search/?api=1&query=Rishikonda%20Beach%2C%20Visakhapatnam%2C%20Andhra%20Pradesh%2C%20India,Visakhapatnam International Airport,Visakhapatnam Junction
Andhra Pradesh,Visakhapatnam,Kailasagiri,Hill,Unknown,2.0,4.5,0,Yes,,Recreational,Yes,0.019,All,India,https://www.google.com/maps/search/?api=1&query=Kailasagiri%2C%20Visakhapatnam%2C%20Andhra%20Pradesh%2C%20India,Visakhapatnam International Airport,Visakhapatnam Junction
Andhra Pradesh,Visakhapatnam,Submarine Museum,Museum,22,1.0,4.6,40,Yes,,Historical,Yes,0.49,All,India,https://www.google.com/maps/search/?api=1&query=Submarine%20Museum%2C%20Visakhapatnam%2C%20Andhra%20Pradesh%2C%20India,Visakhapatnam International Airport,Visakhapatnam Junction
Andhra Pradesh,Visakhapatnam,Borra Caves,Cave,Unknown,2.0,4.5,60,No,,Natural Wonder,Yes,0.31,Afternoon,India,https://www.google.com/maps/search/?api=1&query=Borra%20Caves%2C%20Visakhapatnam%2C%20Andhra%20Pradesh%2C%20India,Visakhapatnam International Airport,Visakhapatnam Junction
Andhra Pradesh,Visakhapatnam,War Memorial,War Memorial,Unknown,1.0,4.6,0,Yes,,Historical,Yes,0.059,All,India,https://www.google.com/maps/search/?api=1&query=War%20Memorial%2C%20Visakhapatnam%2C%20Andhra%20Pradesh%2C%20India,Visakhapatnam International Airport,Visakhapatnam Junction
Andhra Pradesh,Visakhapatnam,Indira Gandhi Zoological Park,Zoo,1977,2.0,4.1,20,Yes,Monday,Wildlife,Yes,0.25,Afternoon,India,https://www.google.com/maps/search/?api=1&query=Indira%20Gandhi%20Zoological%20Park%2C%20Visakhapatnam%2C%20Andhra%20Pradesh%2C%20India,Visakhapatnam International Airport,Visakhapatnam Junction
Andhra Pradesh,Visakhapatnam,Matsyadarshini Aquarium,Aquarium,Unknown,1.0,3.8,20,Yes,,Recreational,Yes,0.03,All,India,https://www.google.com/maps/search/?api=1&query=Matsyadarshini%20Aquarium%2C%20Visakhapatnam%2C%20Andhra%20Pradesh%2C%20India,Visakhapatnam International Airport,Visakhapatnam Junction
Andhra Pradesh,Visakhapatnam,Visakha Museum,Museum,1991,1.0,4.3,10,Yes,,Cultural,Yes,0.065,All,India,https://www.google.com/maps/search/?api=1&query=Visakha%20Museum%2C%20Visakhapatnam%2C%20Andhra%20Pradesh%2C%20India,Visakhapatnam International Airport,Visakhapatnam Junction
Andhra Pradesh,Vizianagaram,Simhachalam Temple,Temple,198,1.0,4.7,0,Yes,,Religious,No,0.59,All,India,https://www.google.com/maps/search/?api=1&query=Simhachalam%20Temple%2C%20Vizianagaram%2C%20Andhra%20Pradesh%2C%20India,Vizianagaram Airport,Vizianagaram Railway Station
Arunachal Pradesh,Tawang,Tawang Monastery,Monastery,1680,2.0,4.7,0,No,,Religious,No,0.032,Morning,India,https://www.google.com/maps/search/?api=1&query=Tawang%20Monastery%2C%20Tawang%2C%20Arunachal%20Pradesh%2C%20India,Tezpur Airport,None (Nearest: Bhalukpong)
Assam,Guwahati,Kamakhya Temple,Temple,Unknown,2.0,4.6,0,Yes,,Religious,No,0.21,All,India,https://www.google.com/maps/search/?api=1&query=Kamakhya%20Temple%2C%20Guwahati%2C%20Assam%2C%20India,Lokpriya Gopinath Bordoloi International Airport,Guwahati Railway Station
