State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Country,Maps,Nearest Airport,Major Railway Station,Taxi Fare (Airport to City),Scooter Rental (Per Day),Must Try Food,Travel Tip,Time Slot,Area,Ideal For,Budget Level,Nightlife Spot,Day Priority,Is_Shopping,Is_Beach,Adventure_Available,Avg_Adventure_Base_Price,Famous Market,Famous Restaurant,Best Season,Food Specialty,Tourism Score (1-10),Latitude,Longitude,Popularity Index (0-100),Nightlife Hotspot,Heritage Category,Type_Encoded,Heritage_Encoded,Nightlife Score (0-10),Place_Image_URL,Nearby_Restaurants,Nearby_Hotels,Local_Transport_Options,Nearest_Metro_Station,Avg_Local_Transport_Cost,Climate_Type,Packing_Suggestions,Recommended_Duration_Min,Recommended_Duration_Max,Short_Description,User_Rating_Avg,User_Rating_Count,Peak_Hours,Crowd_Level,Best_Visit_Time,Place_Description_AI,Common_Questions,Name_Hindi,Description_Hindi,Name_Marathi,Trip_Preference_Tags,Itinerary_Role,City_Transport_Fares_JSON,Auto_Fare_Min,Auto_Fare_PerKm,Rapido_Bike_Min,Rapido_Bike_PerKm,Ola_Car_Base,Ola_Car_PerKm,Uber_Car_Base,Uber_Car_PerKm,Uber_Auto_Min,Uber_Auto_PerKm,City_Taxi_PerKm,Transport_Fare_Note,Surge_Pricing_Note,Nightlife_Party_Info_JSON,Venue_Type,Cover_Charge,Avg_Drinks_Price,Music_Genre,Club_Timings,Dress_Code,Ladies_Night_Info,Nightlife_Note
Manipur,Ukhrul,Shirui Hills,Hilltop,Ancient,2.0,4.5,0.0,Unknown,Unknown,Unknown,Unknown,0.095,October to April,India,Information not available,Imphal International Airport,Dimapur Railway Station,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Medium,Unknown,2.0,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,9.1,0.0,0.0,87.0,Unknown,Unknown,100,2,5.2,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Ukhrul,Top hotels near Shirui Hills in Ukhrul,"Taxi, Bus, Metro",Ukhrul Metro Station,300,Semi-Arid,"Comfortable shoes, light jacket, water bottle",60,180,Shirui Hills is a famous tourist attraction located in Ukhrul.,4.5,0,10 AM - 1 PM,5,September - February,"Shirui Hills is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Shirui Hills?,Shirui Hills,Shirui Hills Ukhrul में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Shirui Hills,"Nature, Popular",Any Time,"{""Auto_Min"": ""\u20b920-30"", ""Auto_PerKm"": ""\u20b910-15"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b914"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b914"", ""Uber_Auto_Min"": ""\u20b920"", ""Uber_Auto_PerKm"": ""\u20b910"", ""City_Taxi_PerKm"": ""\u20b914-18/km"", ""Note"": ""Estimated 2025 Indian rates""}",₹20-30,₹10-15,₹20,₹7,₹35,₹14,₹35,₹14,₹20,₹10,₹14-18/km,Estimated 2025 Indian rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tripura,Unakoti,Unakoti Rock Carvings,Heritage Site,Unknown,2.0,4.5,60.0,Unknown,Unknown,Unknown,Unknown,0.095,October to April,India,Information not available,Maharaja Bir Bikram Airport,Kumarghat Railway Station,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Medium,Unknown,2.0,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,9.1,0.0,0.0,87.0,Unknown,Unknown,105,2,5.2,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Unakoti,Top hotels near Unakoti Rock Carvings in Unakoti,"Taxi, Bus, Metro",Unakoti Metro Station,300,Semi-Arid,"Comfortable walking shoes, sunscreen, water bottle, sunglasses",60,180,Unakoti Rock Carvings is a famous tourist attraction located in Unakoti.,4.5,0,5 PM - 9 PM,5,September - February,"Unakoti Rock Carvings is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Unakoti Rock Carvings?,Unakoti Rock Carvings,Unakoti Rock Carvings Unakoti में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Unakoti Rock Carvings,"History, Popular",Morning / Afternoon,"{""Auto_Min"": ""\u20b920-30"", ""Auto_PerKm"": ""\u20b910-15"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b914"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b914"", ""Uber_Auto_Min"": ""\u20b920"", ""Uber_Auto_PerKm"": ""\u20b910"", ""City_Taxi_PerKm"": ""\u20b914-18/km"", ""Note"": ""Estimated 2025 Indian rates""}",₹20-30,₹10-15,₹20,₹7,₹35,₹14,₹35,₹14,₹20,₹10,₹14-18/km,Estimated 2025 Indian rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Karnataka,Coorg,Raja's Seat,Garden,Unknown,1.0,4.5,10.0,No,Open All Days,Scenic viewpoint where kings of Coorg watched sunsets,Yes,0.2,Evening,India,http://googleusercontent.com/maps.google.com/ka6,Kannur International Airport,Mysuru Junction,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Madikeri Market,Coorg Cuisine,October to March,Coorg Special Cuisine,8.0,0.0,0.0,72.0,No,Non-Religious,79,0,5.0,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Coorg,Top hotels near Raja's Seat in Coorg,"Taxi, Bus, Metro",Coorg Metro Station,300,Coastal Tropical,"Light cotton clothes, hat, sunscreen, camera",60,180,Raja's Seat is a famous tourist attraction located in Coorg.,4.5,0,11 AM - 4 PM,5,November - February,"Raja's Seat is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Raja's Seat?,Raja's Seat,Raja's Seat Coorg में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Raja's Seat,"Foodie, History, Nature, Popular",Morning,"{""Auto_Min"": ""\u20b930"", ""Auto_PerKm"": ""\u20b915"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b96"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b915"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b916"", ""Uber_Auto_Min"": ""\u20b930"", ""Uber_Auto_PerKm"": ""\u20b910"", ""City_Taxi_PerKm"": ""\u20b914-18/km"", ""Note"": ""2025 Karnataka rates""}",₹30,₹15,₹20,₹6,₹35,₹15,₹35,₹16,₹30,₹10,₹14-18/km,2025 Karnataka rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tamil Nadu,Chennai,Kapaleeshwarar Temple,Temple,7th Century,1.5,4.8,0.0,Yes,Open All Days,Ancient Dravidian architecture dedicated to Lord Shiva,No,0.45,Morning,India,http://googleusercontent.com/maps.google.com/tn1,Chennai International Airport,Chennai Central,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,"T Nagar Market, Pondy Bazaar, George Town Market",Ponnusamy,October to March,Chennai Special Cuisine,8.0,13.0827,80.2707,77.0,No,Religious Heritage,3,1,5.6,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Chennai,Top hotels near Kapaleeshwarar Temple in Chennai,"Taxi, Bus, Metro",Chennai Metro Station,300,Temperate,"Comfortable walking shoes, sunscreen, water bottle, sunglasses",60,180,Kapaleeshwarar Temple is a famous tourist attraction located in Chennai.,4.8,0,5 PM - 9 PM,5,October - March,"Kapaleeshwarar Temple is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Kapaleeshwarar Temple?,Kapaleeshwarar Temple,Kapaleeshwarar Temple Chennai में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Kapaleeshwarar Temple,"Foodie, History, Popular",Morning,"{""Auto_Min"": ""\u20b925"", ""Auto_PerKm"": ""\u20b912"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b96"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b915"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b915"", ""Uber_Auto_Min"": ""\u20b925"", ""Uber_Auto_PerKm"": ""\u20b912"", ""City_Taxi_PerKm"": ""\u20b915-18/km"", ""Note"": ""2025 Chennai rates""}",₹25,₹12,₹20,₹6,₹35,₹15,₹35,₹15,₹25,₹12,₹15-18/km,2025 Chennai rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Maharashtra,Panchgani,Table Land,Natural Feature,Ancient,2.0,4.5,0.0,No,Open All Days,Asia's second longest mountain plateau,Yes,0.1,Evening,India,http://googleusercontent.com/maps.google.com/mh24,Unknown,Unknown,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Panchgani Main Market,Panchgani Famous Restaurant,October to March,Panchgani Special Cuisine,8.0,0.0,0.0,72.0,No,Non-Religious,0,0,5.0,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Panchgani,Top hotels near Table Land in Panchgani,"Taxi, Bus, Metro",Panchgani Metro Station,300,Coastal Tropical,"Comfortable shoes, light jacket, water bottle",60,180,Table Land is a famous tourist attraction located in Panchgani.,4.5,0,5 PM - 9 PM,5,November - February,"Table Land is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Table Land?,Table Land,Table Land Panchgani में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Table Land,"Foodie, History, Nature, Popular",Any Time,"{""Auto_Min"": ""\u20b926"", ""Auto_PerKm"": ""\u20b917"", ""Rapido_Bike_Min"": ""\u20b915"", ""Rapido_Bike_PerKm"": ""\u20b910"", ""Ola_Car_Base"": ""\u20b940"", ""Ola_Car_PerKm"": ""\u20b918"", ""Uber_Car_Base"": ""\u20b940"", ""Uber_Car_PerKm"": ""\u20b918"", ""Uber_Auto_Min"": ""\u20b926"", ""Uber_Auto_PerKm"": ""\u20b917"", ""City_Taxi_PerKm"": ""\u20b917-22/km"", ""Note"": ""Maharashtra 2025 regulated rates""}",₹26,₹17,₹15,₹10,₹40,₹18,₹40,₹18,₹26,₹17,₹17-22/km,Maharashtra 2025 regulated rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Odisha,Cuttack,Barabati Fort,Fort,Unknown,1.0,4.5,0.0,Yes,Open All Days,Historical,Yes,0.13,All,India,https://www.google.com/maps/search/?api=1&query=Barabati%20Fort%2C%20Cuttack%2C%20Odisha%2C%20India,Biju Patnaik International Airport,Cuttack Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Cuttack Main Market,Cuttack Famous Restaurant,October to March,Cuttack Special Cuisine,8.0,0.0,0.0,72.0,No,Non-Religious,6,0,5.0,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Cuttack,Top hotels near Barabati Fort in Cuttack,"Taxi, Bus, Metro",Cuttack Metro Station,300,Tropical,"Sunglasses, cap, sunscreen, portable charger",60,180,Barabati Fort is a famous tourist attraction located in Cuttack.,4.5,0,11 AM - 4 PM,5,October - March,"Barabati Fort is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Barabati Fort?,Barabati Fort,Barabati Fort Cuttack में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Barabati Fort,"Foodie, History, Popular",Morning,"{""Auto_Min"": ""\u20b920"", ""Auto_PerKm"": ""\u20b910"", ""Rapido_Bike_Min"": ""\u20b915"", ""Rapido_Bike_PerKm"": ""\u20b96"", ""Ola_Car_Base"": ""\u20b930"", ""Ola_Car_PerKm"": ""\u20b912"", ""Uber_Car_Base"": ""\u20b930"", ""Uber_Car_PerKm"": ""\u20b912"", ""Uber_Auto_Min"": ""\u20b920"", ""Uber_Auto_PerKm"": ""\u20b910"", ""City_Taxi_PerKm"": ""\u20b912-15/km"", ""Note"": ""2025 Odisha rates""}",₹20,₹10,₹15,₹6,₹30,₹12,₹30,₹12,₹20,₹10,₹12-15/km,2025 Odisha rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Delhi,Delhi,Karol Bagh Market,Point of Interest,Unknown,2.0,0.0,0.0,Yes,Open All Days,Tourist Attraction,Unknown,0.0,All,India,https://www.google.com/maps/search/?api=1&query=Karol%20Bagh%20Market%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport (IGI) / Hindon Airport,New Delhi Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,"Chandni Chowk, Sarojini Nagar, Khan Market",Indian Accent,October to March,Delhi Special Cuisine,8.0,28.7041,77.1025,0.0,Yes,Non-Religious,29,0,1.0,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Delhi,Top hotels near Karol Bagh Market in Delhi,"Taxi, Bus, Metro",Delhi Metro Station,300,Coastal Tropical,"Comfortable shoes, light jacket, water bottle",60,180,Karol Bagh Market is a famous tourist attraction located in Delhi.,0.0,0,10 AM - 1 PM,5,September - February,"Karol Bagh Market is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Karol Bagh Market?,Karol Bagh Market,Karol Bagh Market Delhi में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Karol Bagh Market,"Foodie, History",Any Time,"{""Auto_Min"": ""\u20b925"", ""Auto_PerKm"": ""\u20b99.5"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b940"", ""Ola_Car_PerKm"": ""\u20b920"", ""Uber_Car_Base"": ""\u20b940"", ""Uber_Car_PerKm"": ""\u20b921"", ""Uber_Auto_Min"": ""\u20b925"", ""Uber_Auto_PerKm"": ""\u20b99.5"", ""City_Taxi_PerKm"": ""\u20b920-21/km"", ""Note"": ""Government regulated 2025 rates""}",₹25,₹9.5,₹20,₹7,₹40,₹20,₹40,₹21,₹25,₹9.5,₹20-21/km,Government regulated 2025 rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rajasthan,Alwar,Bala Quila,Fort,Unknown,2.0,4.5,50.0,Yes,Open All Days,Historical,Yes,0.15,October to March,India,Information not available,Indira Gandhi International Airport,Alwar Junction,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Medium,No,2.0,No,No,No,0.0,"Johari Bazaar, Bapu Bazaar, Tripolia Bazaar",Chokhi Dhani,October to March,Jaipur Special Cuisine,8.0,0.0,0.0,80.0,No,Non-Religious,6,0,5.0,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Alwar,Top hotels near Bala Quila in Alwar,"Taxi, Bus, Metro",Alwar Metro Station,300,Humid Subtropical,"Comfortable shoes, light jacket, water bottle",60,180,Bala Quila is a famous tourist attraction located in Alwar.,4.5,0,10 AM - 1 PM,5,September - February,"Bala Quila is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Bala Quila?,Bala Quila,Bala Quila Alwar में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Bala Quila,"Foodie, History, Popular",Morning,"{""Auto_Min"": ""\u20b920"", ""Auto_PerKm"": ""\u20b910"", ""Rapido_Bike_Min"": ""\u20b915"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b930"", ""Ola_Car_PerKm"": ""\u20b912"", ""Uber_Car_Base"": ""\u20b930"", ""Uber_Car_PerKm"": ""\u20b913"", ""Uber_Auto_Min"": ""\u20b920"", ""Uber_Auto_PerKm"": ""\u20b910"", ""City_Taxi_PerKm"": ""\u20b912-16/km"", ""Note"": ""2025 Rajasthan rates""}",₹20,₹10,₹15,₹7,₹30,₹12,₹30,₹13,₹20,₹10,₹12-16/km,2025 Rajasthan rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sikkim,Gangtok,Nathula Pass,Hill,Unknown,2.0,4.3,20.0,Yes,Open All Days,Historical,Yes,0.15,Afternoon,India,https://www.google.com/maps/search/?api=1&query=Nathula%20Pass%2C%20Gangtok%2C%20Sikkim%2C%20India,Pakyong Airport,New Jalpaiguri Junction,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Evening,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,MG Marg,Taste of Tibet,October to March,Gangtok Special Cuisine,8.0,27.32,88.61,69.0,No,Non-Religious,9,0,4.6,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Gangtok,Top hotels near Nathula Pass in Gangtok,"Taxi, Bus, Metro",Gangtok Metro Station,300,Coastal Tropical,"Comfortable walking shoes, sunscreen, water bottle, sunglasses",60,180,Nathula Pass is a famous tourist attraction located in Gangtok.,4.3,0,11 AM - 4 PM,5,November - February,"Nathula Pass is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Nathula Pass?,Nathula Pass,Nathula Pass Gangtok में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Nathula Pass,"Foodie, History, Nature, Popular",Evening,"{""Auto_Min"": ""\u20b920-30"", ""Auto_PerKm"": ""\u20b910-15"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b914"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b914"", ""Uber_Auto_Min"": ""\u20b920"", ""Uber_Auto_PerKm"": ""\u20b910"", ""City_Taxi_PerKm"": ""\u20b914-18/km"", ""Note"": ""Estimated 2025 Indian rates""}",₹20-30,₹10-15,₹20,₹7,₹35,₹14,₹35,₹14,₹20,₹10,₹14-18/km,Estimated 2025 Indian rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dadra & Nagar Haveli,Silvassa,Tribal Cultural Museum,Museum,Unknown,2.0,4.5,30.0,Yes,Monday,Historical,Yes,0.08,October to March,India,Information not available,Surat Airport,Vapi Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Afternoon,City Center,Family & Friends,Low,No,2.0,No,No,No,0.0,"New Market, Gariahat Market, College Street",6 Ballygunge Place,October to March,Kolkata Special Cuisine,8.0,0.0,0.0,70.0,No,Non-Religious,10,0,5.2,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Silvassa,Top hotels near Tribal Cultural Museum in Silvassa,"Taxi, Bus, Metro",Silvassa Metro Station,300,Semi-Arid,"Comfortable walking shoes, sunscreen, water bottle, sunglasses",60,180,Tribal Cultural Museum is a famous tourist attraction located in Silvassa.,4.5,0,10 AM - 1 PM,5,November - February,"Tribal Cultural Museum is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Tribal Cultural Museum?,Tribal Cultural Museum,Tribal Cultural Museum Silvassa में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Tribal Cultural Museum,"Foodie, History, Museum, Popular",Afternoon,"{""Auto_Min"": ""\u20b920-30"", ""Auto_PerKm"": ""\u20b910-15"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b914"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b914"", ""Uber_Auto_Min"": ""\u20b920"", ""Uber_Auto_PerKm"": ""\u20b910"", ""City_Taxi_PerKm"": ""\u20b914-18/km"", ""Note"": ""Estimated 2025 Indian rates""}",₹20-30,₹10-15,₹20,₹7,₹35,₹14,₹35,₹14,₹20,₹10,₹14-18/km,Estimated 2025 Indian rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
