State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Country,Maps,Nearest Airport,Major Railway Station,Taxi Fare (Airport to City),Scooter Rental (Per Day),Must Try Food,Travel Tip,Time Slot,Area,Ideal For,Budget Level,Nightlife Spot,Day Priority,Is_Shopping,Is_Beach,Adventure_Available,Avg_Adventure_Base_Price,Famous Market,Famous Restaurant,Best Season,Food Specialty,Tourism Score (1-10),Latitude,Longitude,Popularity Index (0-100),Nightlife Hotspot,Heritage Category,Type_Encoded,Heritage_Encoded,Nightlife Score (0-10)
Andaman and Nicobar Islands,Baratang Island,Limestone Caves,Natural Feature,,1.5,4.4,250,No,Open All Days,Nature,Yes,0.015,Morning,India,https://www.google.com/maps/search/?api=1&query=Limestone%20Caves%2C%20Baratang%20Island%2C%20Andaman%20and%20Nicobar%20Islands%2C%20India,Veer Savarkar International Airport (via Port Blair),None (Sea Access),"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0,Aberdeen Bazaar,Ananda Restaurant,October to March,Baratang Island Special Cuisine,8,,,70.0,No,Non-Religious,44,0,4.8
Andaman and Nicobar Islands,Havelock Island,Radhanagar Beach,Beach,,1.0,4.8,0,No,Open All Days,Nature,Yes,0.09,Morning,India,https://www.google.com/maps/search/?api=1&query=Radhanagar%20Beach%2C%20Havelock%20Island%2C%20Andaman%20and%20Nicobar%20Islands%2C%20India,Veer Savarkar International Airport (via Ferry),None (Sea Access),"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Afternoon,City Center,Family & Friends,Mid-Range,No,2.0,No,Yes,Yes,1000,Aberdeen Bazaar,Ananda Restaurant,October to March,Havelock Island Special Cuisine,8,,,77.0,No,Non-Religious,4,0,5.6
Andaman and Nicobar Islands,Neil Island,Bharatpur Beach,Beach,,1.0,4.5,0,No,Open All Days,Nature,Yes,0.04,Morning,India,https://www.google.com/maps/search/?api=1&query=Bharatpur%20Beach%2C%20Neil%20Island%2C%20Andaman%20and%20Nicobar%20Islands%2C%20India,Veer Savarkar International Airport (via Ferry),None (Sea Access),"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Afternoon,City Center,Family & Friends,Mid-Range,No,2.0,No,Yes,Yes,1000,Aberdeen Bazaar,Ananda Restaurant,October to March,Neil Island Special Cuisine,8,,,72.0,No,Non-Religious,4,0,5.0
Andaman and Nicobar Islands,Port Blair,Cellular Jail,Landmark,1906,1.5,4.7,30,Yes,Monday,Historical,Yes,0.12,Afternoon,India,https://www.google.com/maps/search/?api=1&query=Cellular%20Jail%2C%20Port%20Blair%2C%20Andaman%20and%20Nicobar%20Islands%2C%20India,Veer Savarkar International Airport,None (Sea Access),"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0,Aberdeen Bazaar,Ananda Restaurant,October to March,Port Blair Special Cuisine,8,,,75.0,No,Non-Religious,33,0,5.4
Andhra Pradesh,Amravati,Amaravathi Temple,Temple,,1.0,4.7,0,Yes,Open All Days,Religious,No,0.041,All,India,https://www.google.com/maps/search/?api=1&query=Amaravathi%20Temple%2C%20Amravati%2C%20Andhra%20Pradesh%2C%20India,Amravati Airport,Amravati Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0,Amravati Main Market,Amravati Famous Restaurant,October to March,Amravati Special Cuisine,8,,,75.0,No,Religious Heritage,75,1,5.4
Andhra Pradesh,Anantapur,Lepakshi,Site,16th century,1.5,4.6,0,No,Open All Days,Historical,Yes,0.075,All,India,https://www.google.com/maps/search/?api=1&query=Lepakshi%2C%20Anantapur%2C%20Andhra%20Pradesh%2C%20India,Anantapur Airport,Anantapur Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0,Anantapur Main Market,Anantapur Famous Restaurant,October to March,Anantapur Special Cuisine,8,,,74.0,No,Non-Religious,67,0,5.2
Andhra Pradesh,Guntur,Uppalapadu Bird Sanctuary,Bird Sanctuary,,1.0,4.4,10,Yes,Open All Days,Wildlife,Yes,0.7,All,India,https://www.google.com/maps/search/?api=1&query=Uppalapadu%20Bird%20Sanctuary%2C%20Guntur%2C%20Andhra%20Pradesh%2C%20India,Guntur Airport,Guntur Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0,Guntur Main Market,Guntur Famous Restaurant,October to March,Guntur Special Cuisine,8,,,70.0,No,Non-Religious,5,0,4.8
Andhra Pradesh,Kadapa,Gandikota Fort,Fort,12th century,1.5,4.5,0,No,Open All Days,Historical,Yes,0.015,Morning,India,https://www.google.com/maps/search/?api=1&query=Gandikota%20Fort%2C%20Kadapa%2C%20Andhra%20Pradesh%2C%20India,Kadapa Airport,Kadapa Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0,Kadapa Main Market,Kadapa Famous Restaurant,October to March,Kadapa Special Cuisine,8,,,72.0,No,Non-Religious,21,0,5.0
Andhra Pradesh,Kurnool,Belum Caves,Cave,,1.5,4.4,65,Yes,Open All Days,Natural Wonder,Yes,0.11,Afternoon,India,https://www.google.com/maps/search/?api=1&query=Belum%20Caves%2C%20Kurnool%2C%20Andhra%20Pradesh%2C%20India,Kurnool Airport,Kurnool Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0,Kurnool Main Market,Kurnool Famous Restaurant,October to March,Kurnool Special Cuisine,8,,,70.0,No,Non-Religious,9,0,4.8
Andhra Pradesh,Puttaparthi,Prasanthi Nilayam,Spiritual Center,1950,1.0,4.7,0,Yes,Open All Days,Religious,Yes,0.12,All,India,https://www.google.com/maps/search/?api=1&query=Prasanthi%20Nilayam%2C%20Puttaparthi%2C%20Andhra%20Pradesh%2C%20India,Puttaparthi Airport,Puttaparthi Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0,Puttaparthi Main Market,Puttaparthi Famous Restaurant,October to March,Puttaparthi Special Cuisine,8,,,75.0,No,Non-Religious,69,0,5.4
Andhra Pradesh,Rajahmundry,Papikondalu,Hill,,2.0,4.3,0,Yes,Open All Days,Nature,Yes,0.032,All,India,https://www.google.com/maps/search/?api=1&query=Papikondalu%2C%20Rajahmundry%2C%20Andhra%20Pradesh%2C%20India,Rajahmundry Airport,Rajahmundry Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Evening,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0,Rajahmundry Main Market,Rajahmundry Famous Restaurant,October to March,Rajahmundry Special Cuisine,8,,,69.0,No,Non-Religious,27,0,4.6
