State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Country,Maps,Nearest Airport,Major Railway Station,Taxi Fare (Airport to City),Scooter Rental (Per Day),Must Try Food,Travel Tip,Time Slot,Area,Ideal For,Budget Level,Nightlife Spot,Day Priority,Is_Shopping,Is_Beach,Adventure_Available,Avg_Adventure_Base_Price,Famous Market,Famous Restaurant,Best Season,Food Specialty,Tourism Score (1-10),Latitude,Longitude,Popularity Index (0-100),Nightlife Hotspot,Heritage Category,Type_Encoded,Heritage_Encoded,Nightlife Score (0-10),Place_Image_URL,Nearby_Restaurants,Nearby_Hotels,Local_Transport_Options,Nearest_Metro_Station,Avg_Local_Transport_Cost,Climate_Type,Packing_Suggestions,Recommended_Duration_Min,Recommended_Duration_Max,Short_Description,User_Rating_Avg,User_Rating_Count,Peak_Hours,Crowd_Level,Best_Visit_Time,Place_Description_AI,Common_Questions,Name_Hindi,Description_Hindi,Name_Marathi
Andaman and Nicobar Islands,Baratang Island,Limestone Caves,Natural Feature,Ancient,1.5,4.4,250.0,No,Open All Days,Nature,Yes,0.015,Morning,India,https://www.google.com/maps/search/?api=1&query=Limestone%20Caves%2C%20Baratang%20Island%2C%20Andaman%20and%20Nicobar%20Islands%2C%20India,Veer Savarkar International Airport,No Railway,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Aberdeen Bazaar,Ananda Restaurant,October to March,Baratang Island Special Cuisine,8.0,0.0,0.0,70.0,No,Non-Religious,0,0,4.8,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.4,0,,5,,,,,,
Andaman and Nicobar Islands,Havelock Island,Radhanagar Beach,Beach,Ancient,1.0,4.8,0.0,No,Open All Days,Nature,Yes,0.09,Morning,India,https://www.google.com/maps/search/?api=1&query=Radhanagar%20Beach%2C%20Havelock%20Island%2C%20Andaman%20and%20Nicobar%20Islands%2C%20India,Veer Savarkar International Airport,Port Blair Railway (Planned),"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Afternoon,City Center,Family & Friends,Mid-Range,No,2.0,No,Yes,Yes,1000.0,Aberdeen Bazaar,Ananda Restaurant,October to March,Havelock Island Special Cuisine,8.0,11.96,92.98,77.0,No,Non-Religious,1,0,5.6,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.8,0,,5,,,,,,
Andaman and Nicobar Islands,Neil Island,Bharatpur Beach,Beach,Ancient,1.0,4.5,0.0,No,Open All Days,Nature,Yes,0.04,Morning,India,https://www.google.com/maps/search/?api=1&query=Bharatpur%20Beach%2C%20Neil%20Island%2C%20Andaman%20and%20Nicobar%20Islands%2C%20India,Veer Savarkar International Airport,Port Blair Railway (Planned),"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Afternoon,City Center,Family & Friends,Mid-Range,No,2.0,No,Yes,Yes,1000.0,Aberdeen Bazaar,Ananda Restaurant,October to March,Neil Island Special Cuisine,8.0,11.83,93.04,72.0,No,Non-Religious,1,0,5.0,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.5,0,,5,,,,,,
Andaman and Nicobar Islands,Port Blair,Cellular Jail,Landmark,1906,1.5,4.7,30.0,Yes,Monday,Historical,Yes,0.12,Afternoon,India,https://www.google.com/maps/search/?api=1&query=Cellular%20Jail%2C%20Port%20Blair%2C%20Andaman%20and%20Nicobar%20Islands%2C%20India,Veer Savarkar International Airport,Port Blair Railway (Planned),"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Aberdeen Bazaar,Ananda Restaurant,October to March,Port Blair Special Cuisine,8.0,11.66,92.75,75.0,No,Non-Religious,2,0,5.4,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.7,0,,5,,,,,,
Andhra Pradesh,Amravati,Amaravathi Temple,Temple,Unknown,1.0,4.7,0.0,Yes,Open All Days,Religious,No,0.041,All,India,https://www.google.com/maps/search/?api=1&query=Amaravathi%20Temple%2C%20Amravati%2C%20Andhra%20Pradesh%2C%20India,Nagpur Airport,Amravati Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Amravati Main Market,Amravati Famous Restaurant,October to March,Amravati Special Cuisine,8.0,0.0,0.0,75.0,No,Religious Heritage,3,1,5.4,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.7,0,,5,,,,,,
Andhra Pradesh,Anantapur,Lepakshi,Site,16th century,1.5,4.6,0.0,No,Open All Days,Historical,Yes,0.075,All,India,https://www.google.com/maps/search/?api=1&query=Lepakshi%2C%20Anantapur%2C%20Andhra%20Pradesh%2C%20India,Sri Sathya Sai Airport,Anantapur Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Anantapur Main Market,Anantapur Famous Restaurant,October to March,Anantapur Special Cuisine,8.0,0.0,0.0,74.0,No,Non-Religious,4,0,5.2,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.6,0,,5,,,,,,
Andhra Pradesh,Guntur,Uppalapadu Bird Sanctuary,Bird Sanctuary,Unknown,1.0,4.4,10.0,Yes,Open All Days,Wildlife,Yes,0.7,All,India,https://www.google.com/maps/search/?api=1&query=Uppalapadu%20Bird%20Sanctuary%2C%20Guntur%2C%20Andhra%20Pradesh%2C%20India,Vijayawada Airport,Guntur Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Guntur Main Market,Guntur Famous Restaurant,October to March,Guntur Special Cuisine,8.0,0.0,0.0,70.0,No,Non-Religious,5,0,4.8,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.4,0,,5,,,,,,
Andhra Pradesh,Kadapa,Gandikota Fort,Fort,12th century,1.5,4.5,0.0,No,Open All Days,Historical,Yes,0.015,Morning,India,https://www.google.com/maps/search/?api=1&query=Gandikota%20Fort%2C%20Kadapa%2C%20Andhra%20Pradesh%2C%20India,Kadapa Airport,Kadapa Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Kadapa Main Market,Kadapa Famous Restaurant,October to March,Kadapa Special Cuisine,8.0,0.0,0.0,72.0,No,Non-Religious,6,0,5.0,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.5,0,,5,,,,,,
Andhra Pradesh,Kurnool,Belum Caves,Cave,Unknown,1.5,4.4,65.0,Yes,Open All Days,Natural Wonder,Yes,0.11,Afternoon,India,https://www.google.com/maps/search/?api=1&query=Belum%20Caves%2C%20Kurnool%2C%20Andhra%20Pradesh%2C%20India,Kurnool Airport,Kurnool City Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Kurnool Main Market,Kurnool Famous Restaurant,October to March,Kurnool Special Cuisine,8.0,0.0,0.0,70.0,No,Non-Religious,7,0,4.8,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.4,0,,5,,,,,,
Andhra Pradesh,Puttaparthi,Prasanthi Nilayam,Spiritual Center,1950,1.0,4.7,0.0,Yes,Open All Days,Religious,Yes,0.12,All,India,https://www.google.com/maps/search/?api=1&query=Prasanthi%20Nilayam%2C%20Puttaparthi%2C%20Andhra%20Pradesh%2C%20India,Sri Sathya Sai Airport,Sri Sathya Sai Prashanthi Nilayam,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Puttaparthi Main Market,Puttaparthi Famous Restaurant,October to March,Puttaparthi Special Cuisine,8.0,0.0,0.0,75.0,No,Non-Religious,8,0,5.4,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.7,0,,5,,,,,,
